Protein_Name	GH_family	Enzyme	Cluster_annotation	Cluster_description	Cluster_ID	Validation_status	Reference	EggNOG_Best_Hit	EggNOG_bestHit_pident	Bifidobacteria_species	GH_family-F1_threshold	GH-cluster threshold	HMG-utilization
SAMN17315594_318_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN10387520_1376_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN06368679_733_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMEA5851974_1217_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	100.0	Bifidobacterium breve	89.800	95.15	Yes
SAMN07958349_1130_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944642_768_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN06368650_1510_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	99.3	Bifidobacterium longum	89.800	95.15	Yes
SAMN09734172_1504_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944941_1579_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN06621710_156_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN16287678_1353_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
SAMN06368615_1244_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	98.1	Bifidobacterium longum	89.800	95.15	Yes
SAMN19732144_578_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
SAMN17801376_1843_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
SAMN19732002_2094_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.9	Bifidobacterium longum	89.800	95.15	Yes
SAMN09736665_1499_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN02471030_1521_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.2	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944995_1772_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944971_529_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944959_1900_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN03198202_278_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	158787.BSCA_1704	99.8	Bifidobacterium scardovii	89.800	95.15	Yes
SAMN17801138_2319_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	158787.BSCA_1704	99.8	Bifidobacterium scardovii	89.800	95.15	Yes
SAMN13135167_1116_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.2	Bifidobacterium breve	89.800	95.15	Yes
SAMN19732143_579_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944962_1661_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944803_1225_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN07189841_1240_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.7	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944719_507_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN06368641_1115_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	99.5	Bifidobacterium longum	89.800	95.15	Yes
SAMN08949007_895_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN02843216_1284_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	100.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN18034730_1358_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium longum	89.800	95.15	Yes
SAMN15533049_810_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	99.5	Bifidobacterium longum	89.800	95.15	Yes
SAMN11945014_850_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944847_1303_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN02603181_1285_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	100.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN02596976_1557_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	96.8	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944942_1584_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11945017_960_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944767_1636_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944652_1600_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944802_1111_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11945024_981_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN15533110_217_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944920_810_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944829_1327_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMEA7848128_554_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944749_1978_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	98.8	Bifidobacterium longum	89.800	95.15	Yes
SAMN19732223_1020_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMD00047607_248_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium breve	89.800	95.15	Yes
SAMN16287679_48_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.7	Bifidobacterium longum	89.800	95.15	Yes
SAMN06368649_1294_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944779_1600_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944625_1565_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN07160977_1148_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.2	Bifidobacterium breve	89.800	95.15	Yes
SAMN19732183_739_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium longum	89.800	95.15	Yes
SAMN07958353_1187_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN06368645_1164_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium longum	89.800	95.15	Yes
SAMD00061041_1096_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944768_1637_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN16384085_1539_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944990_1764_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN06827973_1239_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium breve	89.800	95.15	Yes
SAMN11944762_1448_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN09734882_1019_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944659_1227_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN19732099_579_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
SAMN06827912_1412_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.2	Bifidobacterium breve	89.800	95.15	Yes
SAMN07958366_1208_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944813_1241_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.0	Bifidobacterium longum	89.800	95.15	Yes
SAMN02645010_133_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	1437609.BCAL_0697	100.0	Bifidobacterium sp	89.800	95.15	Yes
SAMN19731868_1663_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	99.8	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944686_1560_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN10316452_171_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944748_1742_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	99.3	Bifidobacterium longum	89.800	95.15	Yes
SAMN11944680_1574_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	216816.GS08_06635	97.2	Bifidobacterium longum	89.800	95.15	Yes
SAMN19732098_582_GH125	GH125	α-mannosidase	"GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	"Alpha-1,6-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139)"	SAMN10662179_111_GH125	Experiment	PMID: 36443572	326426.Bbr_1139	97.5	Bifidobacterium breve	89.800	95.15	Yes
